"","network","value","ids","region","or"
"1","DMN",-0.166161568652441,0,"(Intercept)",0.8469
"2","DMN",-0.00332595007136196,17,"LH_DefaultA_IPL_4",0.9967
"3","DMN",-0.000640337838262415,37,"LH_DefaultA_PFCm_2",0.9994
"4","DMN",0.00361235921391052,44,"LH_DefaultB_IPL_4",1.0036
"5","DMN",-0.00485869641536744,63,"LH_Limbic_OFC_8",0.9952
"6","DMN",-0.00010173297363232,71,"RH_ContB_IPL_3",0.9999
"7","DMN",-0.00398681739843853,82,"RH_DefaultA_IPL_4",0.996
"8","DMN",0.00301020864445572,126,"RH_SalVentAttnA_ParOper_9",1.003
"9","DMN",0.0100055980539426,131,"RH_TempPar_17",1.0101
"10","Salience",-0.470758317861263,0,"(Intercept)",0.6245
"11","Salience",-0.00600321669379306,14,"LH_DefaultA_PCC_15",0.994
"12","Salience",-0.0125695968951632,15,"LH_DefaultA_PCC_8",0.9875
"13","Salience",0.0044356462296289,67,"RH_ContB_PFCmp_1",1.0044
"14","Salience",0.0116275700886237,105,"RH_SalVentAttnA_Ins_4",1.0117
"15","Salience",0.0033003723672707,111,"RH_SalVentAttnB_PFCv_1",1.0033
"16","Salience",0.00539649827577835,112,"RH_SalVentAttnB_PFCv_2",1.0054
"17","ECN_L",-0.00175718083639723,0,"(Intercept)",0.9982
"18","ECN_L",-0.000993776566665393,36,"LH_ContB_PFClv_2",0.999
"19","ECN_L",-0.00645189060070976,69,"LH_DefaultB_IPL_4",0.9936
"20","ECN_L",-0.00369888974266546,117,"LH_SalVentAttnA_Ins_9",0.9963
"21","ECN_R",-0.523616481687997,0,"(Intercept)",0.5924
"22","ECN_R",0.00626067548736363,58,"RH_ContB_PFClv_5",1.0063
"23","ECN_R",0.00880271707153186,74,"RH_ContC_pCun_7",1.0088
"24","ECN_R",0.000903280795493376,78,"RH_DefaultA_IPL_2",1.0009
"25","ECN_R",0.000192300251581194,86,"RH_DefaultA_PCC_14",1.0002
"26","ECN_R",0.0028491720849703,95,"RH_DefaultB_PFCd_1",1.0029
"27","ECN_R",0.000628768571429127,112,"RH_DorsAttnB_PostC_8",1.0006
"28","ECN_R",0.000312278124175445,131,"RH_SalVentAttnB_PFCv_5",1.0003
"29","Hippocampal",-0.366992007155367,0,"(Intercept)",0.6928
"30","Hippocampal",0.00332981858600476,3,"LH-Thalamus-Proper",1.0033
"31","Hippocampal",0.00179074169179658,4,"LH_DefaultA_PCC_1",1.0018
"32","Hippocampal",0.00203941461128696,9,"LH_DefaultC_PHC_3",1.002
"33","Hippocampal",0.00507287571892802,26,"RH_DefaultA_PCC_1",1.0051
"34","Language",-0.0373701080666101,0,"(Intercept)",0.9633
"35","Language",-0.00826255567899258,13,"LH_DefaultA_IPL_1",0.9918
"36","Language",0.0331685536737424,47,"LH_DefaultC_Rsp_3",1.0337
"37","Language",0.00406751250146384,54,"LH_SalVentAttnB_PFCv_5",1.0041
