"","region_stem","network","mean_importance"
"1",LH_Amygdala,Hippocampal,5.15450866752008
"2",LH_ContA_IPS,Salience,4.79365920211952
"3",LH_ContC_pCun,ECN_L,9.82742316282616
"4",LH_ContC_pCun,Language,5.02686008469029
"5",LH_ContC_pCun,Sensorimotor,6.34981879817929
"6",LH_ContC_pCun,Visual_occipital,7.27153204581979
"7",LH_DefaultA_IPL,Language,5.34478485452241
"8",LH_DefaultA_PCC,Salience,4.84600855937488
"9",LH_DefaultA_PCC,Visual_lateral,8.09077500073059
"10",LH_DefaultA_PCC,Visual_medial,2.90236252045603
"11",LH_DefaultB_IPL,DMN,6.0146951380718
"12",LH_DefaultB_PFCv,Salience,4.8077331907432
"13",LH_DefaultC_PHC,Hippocampal,6.23483804607596
"14",LH_DefaultC_Rsp,DMN,4.99876743255811
"15",LH_DorsAttnA_TempOcc,Hippocampal,2.73259673185428
"16",LH_DorsAttnA_TempOcc,Visual_lateral,3.65149248776927
"17",LH_SalVentAttnA_FrMed,Auditory,3.62403630705382
"18",LH_SalVentAttnA_Ins,ECN_L,4.44304353946523
"19",LH_SomMotA,Sensorimotor,3.91969735266803
"20",LH_Thalamus_Proper,Hippocampal,6.88502092069003
"21",LH_VisPeri_ExStrSup,Visual_medial,4.88615569424435
"22",RH_ContA_PFCl,ECN_R,7.50978835025379
"23",RH_ContB_IPL,DMN,4.8791597159597
"24",RH_ContB_PFCld,ECN_R,4.69695591069506
"25",RH_DefaultA_IPL,ECN_R,6.56431035938947
"26",RH_DefaultA_IPL,Salience,5.40998794425731
"27",RH_DefaultA_PCC,Hippocampal,4.00293917273353
"28",RH_DefaultC_IPL,ECN_R,6.54994785124005
"29",RH_DorsAttnA_SPL,Sensorimotor,4.90030625117774
"30",RH_SalVentAttnA_Ins,Salience,5.10089094498369
"31",RH_SalVentAttnB_PFCv,ECN_R,5.07585574507891
"32",RH_Thalamus_Proper,Hippocampal,7.40908778657294
"33",RH_VisPeri_ExStrSup,Visual_medial,4.17660647229468
