"","region_stem","network","mean_value","or"
"1","LH-Thalamus-Proper","Hippocampal",0.00332981858600476,1.00333536859037
"2","LH_ContB_PFClv","ECN_L",-0.000993776566665393,0.999006717065733
"3","LH_DefaultA_IPL","DMN",-0.00332595007136196,0.99667957477376
"4","LH_DefaultA_IPL","Language",-0.00826255567899258,0.991771485414186
"5","LH_DefaultA_PCC","Hippocampal",0.00179074169179658,1.00179234602721
"6","LH_DefaultA_PCC","Salience",-0.00928640679447813,0.990756578717873
"7","LH_DefaultA_PFCm","DMN",-0.000640337838262415,0.999359867134258
"8","LH_DefaultB_IPL","DMN",0.00361235921391052,1.00361889164692
"9","LH_DefaultB_IPL","ECN_L",-0.00645189060070976,0.993568878155533
"10","LH_DefaultC_PHC","Hippocampal",0.00203941461128696,1.00204149563171
"11","LH_DefaultC_Rsp","Language",0.0331685536737424,1.03372476266428
"12","LH_Limbic_OFC","DMN",-0.00485869641536744,0.995153087956774
"13","LH_SalVentAttnA_Ins","ECN_L",-0.00369888974266546,0.996307942723223
"14","LH_SalVentAttnB_PFCv","Language",0.00406751250146384,1.00407579605779
"15","RH_ContB_IPL","DMN",-0.00010173297363232,0.999898272200991
"16","RH_ContB_PFClv","ECN_R",0.00626067548736363,1.0062803144792
"17","RH_ContB_PFCmp","Salience",0.0044356462296289,1.0044454982697
"18","RH_ContC_pCun","ECN_R",0.00880271707153186,1.00884157491998
"19","RH_DefaultA_IPL","DMN",-0.00398681739843853,0.996021119407011
"20","RH_DefaultA_IPL","ECN_R",0.000903280795493376,1.00090368887645
"21","RH_DefaultA_PCC","ECN_R",0.000192300251581194,1.00019231874246
"22","RH_DefaultA_PCC","Hippocampal",0.00507287571892802,1.0050857645382
"23","RH_DefaultB_PFCd","ECN_R",0.0028491720849703,1.00285323483333
"24","RH_DorsAttnB_PostC","ECN_R",0.000628768571429127,1.00062896628782
"25","RH_SalVentAttnA_Ins","Salience",0.0116275700886237,1.01169543305377
"26","RH_SalVentAttnA_ParOper","DMN",0.00301020864445572,1.00301474387202
"27","RH_SalVentAttnB_PFCv","ECN_R",0.000312278124175445,1.00031232688806
"28","RH_SalVentAttnB_PFCv","Salience",0.00434843532152453,1.00435790348532
"29","RH_TempPar","DMN",0.0100055980539426,1.01005582141531
